,Battlefield 1,Battlefield 2,Battlefield 3
Strategy 1,60,31,9
Strategy 2,49,47,4
Strategy 3,52,48,0
Strategy 4,51,39,10
Strategy 5,44,36,20
Strategy 6,45,41,14
Strategy 7,61,28,11
Strategy 8,65,35,0
Strategy 9,57,37,6
Strategy 10,59,33,8
Strategy 11,56,43,1
Strategy 12,64,18,18
Strategy 13,54,23,23
Strategy 14,66,17,17
Strategy 15,42,29,29
Strategy 16,67,25,8
Strategy 17,50,37,13
Strategy 18,57,38,5
Strategy 19,55,43,2
Strategy 20,58,35,7
Strategy 21,65,28,7
Strategy 22,40,30,30
Strategy 23,53,45,2
Strategy 24,63,22,15
Strategy 25,62,22,16
Strategy 26,46,27,27
Strategy 27,58,21,21
Strategy 28,62,26,12
Strategy 29,36,32,32
Strategy 30,50,38,12
