,Battlefield 1,Battlefield 2,Battlefield 3
Strategy 1,47,44,9
Strategy 2,65,28,7
Strategy 3,62,22,16
Strategy 4,56,30,14
Strategy 5,53,43,4
Strategy 6,51,49,0
Strategy 7,52,33,15
Strategy 8,55,39,6
Strategy 9,57,35,8
Strategy 10,64,25,11
Strategy 11,61,27,12
Strategy 12,59,40,1
Strategy 13,58,21,21
Strategy 14,66,17,17
Strategy 15,60,20,20
Strategy 16,61,38,1
Strategy 17,46,42,12
Strategy 18,50,45,5
Strategy 19,64,18,18
Strategy 20,48,41,11
Strategy 21,66,24,10
Strategy 22,57,41,2
Strategy 23,63,35,2
Strategy 24,45,29,26
Strategy 25,55,32,13
Strategy 26,67,23,10
Strategy 27,49,48,3
Strategy 28,51,36,13
Strategy 29,54,43,3
Strategy 30,53,42,5
